Channel name,Input 1 Primary,Input 1 Failover,Recieve Port,Schedule Input Primary,Schedule Input Failover,Leaf,SRT Mode
Univision01a Crawl - WXTV-DT,ltnp-ovh-vinth-unvs-1,ltnp-ovh-vinth-unvs-2,4001,40.160.26.116:7700,40.160.26.116:7800,d1,caller
Univision01b Crawl - WXTV-DT,ltnp-ovh-hillsb-unvs-1,ltnp-ovh-hillsb-unvs-2,4001,15.204.101.217:7700,15.204.101.217:7800,d1,caller
Univision02a Crawl - KMEX-DT,ltnp-ovh-vinth-unvs-1,ltnp-ovh-vinth-unvs-2,4002,40.160.26.139:7700,40.160.26.139:7800,d2,caller
Univision02b Crawl - KMEX-DT,ltnp-ovh-hillsb-unvs-1,ltnp-ovh-hillsb-unvs-2,4002,15.204.105.160:7700,15.204.105.160:7800,d2,caller
Univision03a Crawl - KUVN-DT,ltnp-ovh-vinth-unvs-1,ltnp-ovh-vinth-unvs-2,4003,40.160.26.241:7700,40.160.26.241:7800,d3,caller
Univision03b Crawl - KUVN-DT,ltnp-ovh-hillsb-unvs-1,ltnp-ovh-hillsb-unvs-2,4003,15.204.104.86:7700,15.204.104.86:7800,d3,caller
Univision04a Crawl - WUVG-DT,ltnp-ovh-vinth-unvs-1,ltnp-ovh-vinth-unvs-2,4004,40.160.27.19:7700,40.160.27.19:7800,d4,caller
Univision04b Crawl - WUVG-DT,ltnp-ovh-hillsb-unvs-1,ltnp-ovh-hillsb-unvs-2,4004,15.204.101.227:7700,15.204.101.227:7800,d4,caller
Univision05a Crawl - WUVP-DT,ltnp-ovh-vinth-unvs-1,ltnp-ovh-vinth-unvs-2,4005,40.160.27.39:7700,40.160.27.39:7800,d5,caller
Univision05b Crawl - WUVP-DT,ltnp-ovh-hillsb-unvs-1,ltnp-ovh-hillsb-unvs-2,4005,15.204.101.226:7700,15.204.101.226:7800,d5,caller
Univision06a Crawl - WGBO-DT,ltnp-ovh-vinth-unvs-1,ltnp-ovh-vinth-unvs-2,4006,40.160.21.145:7700,40.160.21.145:7800,d6,caller
Univision06b Crawl - WGBO-DT,ltnp-ovh-hillsb-unvs-1,ltnp-ovh-hillsb-unvs-2,4006,40.160.21.114:7700,40.160.21.114:7800,d6,caller
